amplification_factor,cx,cz,decomposed_2q,decomposed_depth,ecr,grover_power,isa_2q,isa_depth,isa_size,logical_2q,logical_depth,p_ideal,rzz,swap,within_2q_limit,within_depth_limit
1,0,16,12,26,0,0,16,62,94,6,10,0.07232750360492672,0,0,True,True
3,0,60,42,89,0,1,60,214,316,36,73,0.5314509384038665,0,0,True,True
5,0,100,72,152,0,2,100,355,527,66,136,0.9568105399206839,0,0,True,True
7,0,146,102,215,0,3,146,509,763,96,199,0.8917658579995567,0,0,True,True
9,0,190,132,278,0,4,190,664,979,126,262,0.40614494572025417,0,0,True,True
11,0,229,162,341,0,5,229,804,1193,156,325,0.021281167129417845,0,0,True,True
13,0,270,192,404,0,6,270,956,1412,186,388,0.15034109582193286,0,0,True,True
15,0,312,222,467,0,7,312,1099,1641,216,451,0.6547737652154735,0,0,True,True
17,0,354,252,530,0,8,354,1246,1849,246,514,0.9930506417968248,0,0,True,True
19,0,396,282,593,0,9,396,1392,2067,276,577,0.802018044190097,0,0,True,True
21,0,437,312,656,0,10,437,1546,2287,306,640,0.2867570639105669,0,0,True,True
23,0,480,342,719,0,11,480,1688,2496,336,703,0.000420856884517838,0,0,True,True
25,0,525,372,782,0,12,525,1848,2731,366,766,0.2504027298717507,0,0,True,True
27,0,565,402,845,0,13,565,1981,2928,396,829,0.7683371996326173,0,0,True,True
